Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
6,1/9/25,12:53:16,78.9,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
7,1/9/25,12:53:18,78.9,T1 KTemp F,72.2,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
8,1/9/25,12:53:20,78.9,T1 KTemp F,72.2,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
9,1/9/25,12:53:22,78.9,T1 KTemp F,72.1,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
10,1/9/25,12:53:24,78.9,T1 KTemp F,72.1,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
11,1/9/25,12:53:26,79,T1 KTemp F,72.1,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
12,1/9/25,12:53:28,79,T1 KTemp F,72.1,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
13,1/9/25,12:53:30,79.1,T1 KTemp F,72.1,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
14,1/9/25,12:53:32,79.1,T1 KTemp F,72.1,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
15,1/9/25,12:53:34,79.1,T1 KTemp F,72.1,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
16,1/9/25,12:53:36,79.1,T1 KTemp F,72.1,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
17,1/9/25,12:53:38,79.1,T1 KTemp F,72.1,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
18,1/9/25,12:53:40,79.1,T1 KTemp F,72.1,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
19,1/9/25,12:53:42,79.1,T1 KTemp F,72.1,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
20,1/9/25,12:53:44,79.2,T1 KTemp F,72.2,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
21,1/9/25,12:53:46,79.3,T1 KTemp F,72.2,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
22,1/9/25,12:53:48,79.3,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
23,1/9/25,12:53:50,79.3,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
24,1/9/25,12:53:52,79.3,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
25,1/9/25,12:53:54,79.3,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
26,1/9/25,12:53:56,79.4,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
27,1/9/25,12:53:58,79.4,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
28,1/9/25,12:54:00,79.5,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
29,1/9/25,12:54:02,79.5,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
30,1/9/25,12:54:04,79.5,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
31,1/9/25,12:54:06,79.5,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
32,1/9/25,12:54:08,79.5,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
33,1/9/25,12:54:10,79.6,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
34,1/9/25,12:54:12,79.6,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
35,1/9/25,12:54:14,79.6,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
36,1/9/25,12:54:16,79.6,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
37,1/9/25,12:54:18,79.6,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
38,1/9/25,12:54:20,79.7,T1 KTemp F,72.3,T2 KTemp F,9999,T3 KTemp F,9999,T4 KTemp F
